form	lemma	POS	morph
༄༅། །		PUNCT
དགེ་	དགེ་	NOUN
ལྡན་	ལྡན་	VERB
བཀའ་	བཀའ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
སྲོལ་	སྲོལ་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
ཡང་	ཀྱང་	PART
གསལ་	གསལ་	VERB
སྒྲོན་མེ་	སྒྲོན་མེ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ན་མོ་	ན་མོ་	X
མ་	མ་	PART
ཧཱ་		NON_WORD
མུ་	མུ་	NOUN
དྲཱ་		NON_WORD
ཡ་	ཡ་	NOUN
།		PUNCT
རབ་འབྱམས་	རབ་འབྱམས་	ADJ
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ནི་	ནི་	NO_POS
། །		PUNCT
ངུར་སྨྲིག་	ངུར་སྨྲིག་	NOUN
འཛིན་པ་	འཛིན་པ་	VERB
འི་	གི་	PART
ག་	ག་	NOUN
གྱིས་	གིས་	PART
རྣམ་	རྣམ་	NOUN
རོལ་པ་	རོལ་པ་	VERB
། །		PUNCT
བཀའ་དྲིན་	བཀའ་དྲིན་	NOUN
གསུམ་	གསུམ་	NUM
ལྡན་	ལྡན་	VERB
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
བླ་མ་	བླ་མ་	NOUN
ཡི་	གི་	PART
། །		PUNCT
ཞབས་	ཞབས་	NOUN
ཀྱི་	གི་	PART
པདྨོར་		NON_WORD
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
། །		PUNCT
དུས་གསུམ་	དུས་གསུམ་	OTHER
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
བཅུད་	བཅུད་	NOUN
། །		PUNCT
མདོ་	མདོ་	NOUN
དང་	དང་	NO_POS
རྒྱུད་སྡེ་	རྒྱུད་སྡེ་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
དོན་	དོན་	NOUN
། །		PUNCT
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
ཀུན་	ཀུན་	DET
གྱིས་	གིས་	PART
གཤེགས་པ་	གཤེགས་པ་	VERB
འི་	གི་	PART
བཤུལ་	བཤུལ་	NOUN
། །		PUNCT
ཕྱག་	ཕྱག་	NOUN
ཆེན་	ཆེན་	NO_POS
ཡང་	ཀྱང་	PART
གསལ་	གསལ་	VERB
སྒྲོན་མེ་	སྒྲོན་མེ་	NOUN
བཤད་པ་	བཤད་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
། །		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
མཁས་པ་	མཁས་པ་	VERB
དང་	དང་	NO_POS
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
དམ་པ་	དམ་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
བཀའ་	བཀའ་	NOUN
སྲོལ་	སྲོལ་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
འཆད་པ་	འཆད་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ལ་	ལ་	PART
གསུམ་	གསུམ་	NUM
།		PUNCT
རྩོམ་པ་	རྩོམ་པ་	VERB
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
བྱ་བ་	བྱ་བ་	VERB
༑		PUNCT
བརྩམས་པ་	བརྩམས་པ་	VERB
འི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
དངོ་	དངོ་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
བརྩམས་པ་	བརྩམས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་བ་	བྱུང་བ་	VERB
འི་	གི་	PART
དགེ་བ་	དགེ་བ་	VERB
བསྔོ་བ་	བསྔོ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
བདག་ཉིད་	བདག་ཉིད་	NOUN
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
དང་	དང་	NO_POS
མཐུན་པ་	མཐུན་པ་	VERB
ར་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
སོགས་	སོགས་	DET
ཀྱི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
ཡུལ་	ཡུལ་	NOUN
ཁྱད་པར་ཅན་	ཁྱད་པར་ཅན་	ADJ
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་བ་	འཚལ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རྩོམ་པ་	རྩོམ་པ་	VERB
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
རྩོམ་པ་	རྩོམ་པ་	VERB
ར་	ལ་	PART
དམ་བཅའ་	དམ་བཅའ་	NOUN
སྤྱི་		
སྟོན་པ་	སྟོན་པ་	NOUN
ལ་	ལ་	PART
།		PUNCT
ན་མོ་	ན་མོ་	X
མ་	མ་	PART
ཧཱ་		NON_WORD
མུ་	མུ་	NOUN
དྲཱ་		NON_WORD
ཡ་	ཡ་	NOUN
།		PUNCT
ཀུན་ཁྱབ་	ཀུན་ཁྱབ་	OTHER
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེ་	ཆེ་	VERB
། །		PUNCT
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
བརྗོད་	བརྗོད་	VERB
བྲལ་	བྲལ་	VERB
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
དབྱིངས་	དབྱིངས་	NOUN
། །		PUNCT
རྗེན་པ་	རྗེན་པ་	NO_POS
ར་	ལ་	PART
སྟོན་	སྟོན་	VERB
མཛད་	མཛད་	VERB
ཁྱབ་བདག་	ཁྱབ་བདག་	OTHER
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
། །		PUNCT
ཟླ་	ཟླ་	NOUN
མེད་	མེད་	VERB
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
མདོ་	མདོ་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
མན་ངག་	མན་ངག་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
བཅུད་	བཅུད་	NOUN
བསྡུ་	བསྡུ་	VERB
ན་	ནས་	PART
། །		PUNCT
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
འདོམས་	འདོམས་	NOUN
མཛད་	མཛད་	VERB
དགེ་	དགེ་	NOUN
ལྡན་	ལྡན་	VERB
བཀའ་	བཀའ་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
། །		PUNCT
གྲུབ་མཆོག་	གྲུབ་མཆོག་	PROPN
དྷརྨ་		NON_WORD
བཛྲ་	བཛྲ་	NO_POS
ཡབ་	ཡབ་	NOUN
སྲ་	སྲ་	NOUN
ཀྱི་	གི་	PART
། །		PUNCT
བཀའ་	བཀའ་	NOUN
སྲོལ་	སྲོལ་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
བྲི་	བྲི་	NO_POS
། །		PUNCT
ཞེས་་	ཞེས་པ་	PART
སྟེ་	སྟེ་	PART
།		PUNCT
ཤོ་ལོ་	ཤོ་ལོ་	NO_POS
ཀ་	ཀ་	DET
གཉིས་པོ་	གཉིས་པོ་	NUM
འདི་	འདི་	DET
འི་	གི་	PART
དོན་	དོན་	NOUN
རྟོགས་དཀའ་བ་	རྟོགས་དཀའ་བ་	NO_POS
མིན་པ་	མིན་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
ཞིབ་པ་	ཞིབ་པ་	NOUN
ར་	ལ་	PART
མ་	མ་	PART
བྲིས་	བྲིས་	VERB
སོ་	གོ་	PART
། །		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	PART
སྦྱོར་	སྦྱོར་	VERB
དངོ་	དངོ་	NOUN
མཇུག་	མཇུག་	NOUN
གསུམ་	གསུམ་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
ཏེ་	སྟེ་	PART
བརྩམས་པ་	བརྩམས་པ་	VERB
འི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
